src,dst,idiom_chars,literal_chars,sentence_chars,idiom_log_avg,idiom_log_min,idiom_log_max,idiom_log_tot,literal_log_avg,literal_log_min,literal_log_max,literal_log_tot,sentence_log_avg,sentence_log_min,sentence_log_max,sentence_log_tot
方鸿渐想跟鲍小姐两个人另去吃饭，在大家面前不好意思讲出口，只得随他们走。,方鸿渐想跟鲍小姐两个人另去吃饭，在大家面前不便讲出口，只得随他们走。,好意思,便,方鸿渐想跟鲍小姐两个人另去吃饭，，在大家面前不讲出口只得随他们走。,5.443738364907404,5.159876863493405,5.614755941939803,16.33121509472221,5.202703503790937,5.202703503790937,5.202703503790937,5.202703503790937,5.401137167683384,3.807264355276107,6.349843587227183,162.0341150305015
“年老人，像我同士平先生这样年纪的人，是只知道人都是应当亲切一点，无论如何都不至于不原谅人的。”,“年老人，像我同士平先生这样年纪的人，是只知道人都是应当亲切一点，总之都不至于不原谅人的。”,无论如何,总之,“年年老人人人人，，，像我同士平先生这样纪的的是是只知道都都应当亲切一点不不至于原谅。”,5.442033424183952,5.265607803280502,5.652281160545874,21.76813369673581,5.5252725898868,5.265925747764311,5.78461943200929,11.0505451797736,5.733860963764058,3.7798849631926443,6.898872334231127,217.8867166230342
卢大夫非常信任他，依赖他，为了挽救一个生命，他们不知不觉地携起了手，自然而然地成了朋友。,卢大夫非常信任他，依赖他，为了挽救一个生命，他们自然地携起了手，自然地成了朋友。,不不知觉而,自,卢大夫非常信任他他他，，，，依赖为了了了挽救一个生命们地地携起手自然然成朋友。,5.823813332233714,5.12070880475883,6.349843587227183,29.119066661168567,5.786529250665763,5.786529250665763,5.786529250665763,5.786529250665763,5.4773653743245445,3.7315081835960253,6.484402633939753,186.23042272703452
不知从什么地方而来，来到这里递送犯人的，休息在饭馆里，三五个全副武装的朋友蹲到灶边烘草鞋，犯人露出无可奈何的颜色，两手被绳子反缚，绳的一端绑在烧火凳上或廊柱上，饭店主人口上勾着长烟袋，睥睨犯人或同副爷谈天。,不知从什么地方而来，来到这里递送犯人的，休息在饭馆里，三五个全副武装的朋友蹲到灶边烘草鞋，犯人露出无奈的颜色，两手被绳子反缚，绳的一端绑在烧火凳上或廊柱上，饭店主人口上勾着长烟袋，睥睨犯人或同副爷谈天。,可何,,不知从什么地方而来来，，，，，，，，到到这里里递送犯犯犯人人人人的的的的休息在在饭饭馆三五个全副副武装朋友蹲灶边烘草鞋露出无奈颜色两手被绳绳子反缚一端绑烧火凳上上上或或廊柱店主口勾着长烟袋睥睨同爷谈天。,5.56240548479734,5.265607803280502,5.859203166314179,11.12481096959468,,,,,5.112144305269939,1.8129133566428555,6.898872334231127,470.31727608483436
但还没等俺开口呢，老东西就仰脸望着房笆，仿佛是自言自语地说：,但还没等俺开口呢，老东西就仰脸望着房笆，仿佛是自己对自己说话：,言语地,己己对话,但还没等俺开口呢，，老东西就仰脸望着房笆仿佛是自自说：,5.328277078420485,4.918056561505271,5.986480166613039,15.984831235261456,5.50666464964357,5.380332465334461,5.847345582217204,22.02665859857428,5.177091227278109,2.9523080096621253,6.417553063895811,124.25018945467463
这一串的惊人的消息，与忽来忽止的言论，使北平人莫名其妙，不知道世界将要变成什么样子。,这一串的惊人的消息，与忽来忽止的言论，使北平人感到奇怪，不知道世界将要变成什么样子。,莫名其妙,感到奇怪,这一串的的的惊人人消息，，，与忽忽来止言论使北平不知道世界将要变成什么样子。,4.935092138672411,4.3045982263436375,5.605335219399354,19.740368554689645,5.190281521242914,4.66838591669,5.984543064671482,20.761126084971657,5.5692339034799,3.9392695863387313,6.898872334231127,189.3539527183166
一架架的书橱空了，钱绣芸小姐哀怨地仰望终身而未能上的楼板，黄宗羲先生小心翼翼地踩踏过的楼板，现在只留下偷儿吐出的一大堆枣核在上面。,一架架的书橱空了，钱绣芸小姐哀怨地仰望终身而未能上的楼板，黄宗羲先生十分小心地踩踏过的楼板，现在只留下偷儿吐出的一大堆枣核在上面。,翼翼,十分,一一架架的的的的书橱空了，，，钱绣芸小小姐哀怨地地仰望终身而未能上上楼楼板板黄宗羲先生心踩踏过现在在只留下偷儿吐出大堆枣核面。,4.27207378750001,4.27207378750001,4.27207378750001,8.54414757500002,5.576375274935495,5.530140763389811,5.6226097864811795,11.15275054987099,5.154590185954067,2.786041210242554,6.898872334231127,304.12082097128996
她不说话，只是笑了笑，剪得乱七八糟的短发梳也没梳，如同枯黄了的麦梗。,她不说话，只是笑了笑，剪得杂乱的短发梳也没梳，如同枯黄了的麦梗。,七八糟,杂,她不说话，，，只是笑笑了了剪得乱的的短发梳梳也没如同枯黄麦梗。,4.584387237852007,3.900913067737669,4.967079734144497,13.753161713556022,4.604927703428446,4.604927703428446,4.604927703428446,4.604927703428446,5.273712477018135,3.3265406685165617,6.898872334231127,142.39023687948963
人生每个阶段都被赋予了适当的特点：童年的孱弱、青年的剽悍、中年的持重、老年的成熟，所有这些都是自然而然的，按照各自特性属于相应的生命时期。,人生每个阶段都被赋予了适当的特点：童年的孱弱、青年的剽悍、中年的持重、老年的成熟，所有这些都是自然的，按照各自特性属于相应的生命时期。,然而,,人生生每个阶段都都被赋予了适当的的的的的的的特特点：童年年年年孱弱、、、青剽悍中持重老成熟，，所有这些是自自然按照各性属于相应命时期。,5.760423798448878,5.708442996747777,5.812404600149979,11.520847596897756,,,,,5.467849827895227,2.2671717284030137,6.898872334231127,328.07098967371365
总而言之，人家欠立大的数目，也不算小呢，立大收得回多少，存户就可以摊还多少；然而从端阳到现在，一个钱也没有收回来。”,总之，人家欠立大的数目，也不算小呢，立大收得回多少，存户就可以摊还多少；然而从端阳到现在，一个钱也没有收回来。”,而言,,总而之，，，，，人家欠立立大大的数目也也不算小呢收收得回回多多少少存户就可以摊还；然从端阳到现在一个钱没有来。”,5.446349553646563,5.080294507143147,5.812404600149979,10.892699107293126,,,,,5.537381584728664,3.763278211018979,6.898872334231127,265.79431606697585
